id,name,latitude,longitude,total_docks,street_address
3328,Kelly Drive Grandstand,39.98798,-75.1995,23,1200 Kelly Drive
3329,Cresson & Levering,40.02651,-75.22445,15,4402 Cresson St
3331,Girard & Palmer,39.97116,-75.12813,20,501 E Girard Avenue
3332,32nd & Allegheny,40.00537,-75.18143,12,3159 W Allegheny Ave
3333,18th & JFK Curbside,39.9541,-75.16965,25,1735 John F Kennedy Blvd
3334,7th & Dickinson,39.9302,-75.15636,19,645 Dickinson Street
3335,Main & Shurs,40.02237,-75.218,18,9 Shurs Lane
3336,36th & Filbert,39.95719,-75.19388,20,31 N 36th Street
3337,6th & Master,39.97318,-75.14612,15,1410 N 6th Street
3338,54th & Cedar,39.95098,-75.23035,21,5349 Cedar Avenue
3340,27th & Pennsylvania,39.96906,-75.18169,17,2698 Pennsylvania Avenue
3341,York & Trenton,39.98131,-75.12732,20,2145 E York Street
3342,22nd & Spring Garden,39.9639,-75.17385,20,2122 Spring Garden Avenue
3344,56th & Chestnut,39.95961,-75.23354,23,5603 Chestnut Street
3345,5th & Spring Garden,39.9617,-75.14667,19,558 N 5th Street
3346,6th & Chestnut,39.94883,-75.15097,17,150 S Independence Mall W
3349,25th & Wharton,39.93651,-75.18621,17,2504 Wharton Street
3350,Broad & Lehigh,39.99415,-75.15527,20,1427 W Lehigh Ave
3351,12th & Cambria,39.99655,-75.14991,18,1149 W Cambria Street
3352,Broad & Allegheny,40.00143,-75.15256,11,1352 W Allegheny Ave
3353,"Broad & Ontario, Temple Hospital",40.00496,-75.15233,22,3406 N Broad St
3354,58th & Spruce,39.95628,-75.2387,18,5823 Spruce Street
3356,12th & Normandy,39.89322,-75.17187,19,1147 Normandy Pl
3357,10th & Packer,39.9104,-75.16588,27,3356 S 10th St
3359,17th & Locust,39.94888,-75.16978,29,1717 Locust St
3360,Broad & Reed,39.93304,-75.16822,22,1401 Reed Street
3361,"18th & Fernon, Aquinas Center",39.93082,-75.17474,21,1625 S. 18th St. 
3362,13th & Locust,39.94816,-75.16226,19,221 South 13th Street
3363,13th & Spruce,39.94655,-75.16263,17,303 South 13th Street
3365,"32nd & Baring, Drexel Park",39.96173,-75.18788,17,3170 Baring St.
3368,23rd & Master,39.97647,-75.17362,17,2301 Master Street
3369,Ridge & Ferry,40.00772,-75.19194,16,N Ferry Street
3370,Pencoyd Bridge,40.0163,-75.21241,16,3742-3748 Main Street
3371,9th & Arch,39.9534,-75.1543,19,875 Arch Street
3372,24th & Jackson,39.92528,-75.18672,15,2200 S 24th Street
