id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_name,created_at,updated_at,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,scientific_name,common_name
22251908,a21489cd-111c-462e-9588-409dc765de1d,Sun Apr 07 2019 10:58:22 GMT-0700 (PDT),2019-04-07,2019-04-07 17:58:22 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-04-09 20:02:48 UTC,2020-01-17 20:53:37 UTC,34.34832,-119.0509416667,,,false,Procyon lotor,Common Raccoon
24645497,dea19411-2deb-432d-973b-d60f0eb0b536,Sat May 04 2019 22:00:19 GMT-0700 (PDT),2019-05-04,2019-05-05 05:00:19 UTC,Pacific Time (US & Canada),Paul G.,2019-05-06 03:22:59 UTC,2019-08-16 23:28:13 UTC,34.4385662833,-119.3822206521,,,true,Procyon lotor,Common Raccoon
24944869,8a00b4de-ab27-4071-926d-e2a1cb63fd38,Sat May 11 2019 10:31:03 GMT-0700 (PDT),2019-05-11,2019-05-11 17:31:03 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-05-11 17:32:00 UTC,2020-01-17 20:55:01 UTC,34.34948,-119.0524361667,,,false,Procyon lotor,Common Raccoon
26310644,b59c4874-3ef3-489b-988b-8061fdafa459,Sat Jun 01 2019 08:50:11 GMT-0700 (PDT),2019-06-01,2019-06-01 15:50:11 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-06-03 06:23:39 UTC,2020-01-17 20:57:03 UTC,34.2435383333,-119.191855,,,false,Procyon lotor,Common Raccoon
26310677,886c1506-b804-4d3b-9d75-16884281f719,Sat Jun 01 2019 08:53:23 GMT-0700 (PDT),2019-06-01,2019-06-01 15:53:23 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-06-03 06:25:08 UTC,2020-01-17 20:57:09 UTC,34.2435333333,-119.1918866667,,,false,Procyon lotor,Common Raccoon
26385105,75eb53e8-007b-4e71-b3bd-7d8222c7bcb8,Tue Jun 04 2019 06:59:15 GMT-0700 (PDT),2019-06-04,2019-06-04 13:59:15 UTC,Pacific Time (US & Canada),,2019-06-04 14:28:20 UTC,2019-06-27 15:02:08 UTC,34.3810966667,-118.8821416667,,,false,Procyon lotor,Common Raccoon
29707185,96cc2f9d-4eae-4e58-b6fe-695eb88f4da4,Sat Jul 27 2019 08:46:11 GMT-0700 (PDT),2019-07-27,2019-07-27 15:46:11 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-07-28 14:12:44 UTC,2020-06-03 17:17:18 UTC,34.407245,-119.3424216667,,,false,Procyon lotor,Common Raccoon
30473885,18f4ab82-110a-4cfd-87ad-eef23c56316f,Thu Aug 08 2019 08:55:48 GMT-0700 (PDT),2019-08-08,2019-08-08 15:55:48 UTC,Pacific Time (US & Canada),Adam J. Searcy,2019-08-09 11:28:08 UTC,2023-05-24 23:08:45 UTC,34.3624533333,-119.0126416667,,,false,Procyon lotor,Common Raccoon
31624379,85822171-b60c-4547-b151-93000a771aa4,2019/08/27 11:19 AM PDT,2019-08-27,2019-08-27 18:19:00 UTC,Pacific Time (US & Canada),Julia and Bryan @ XplorMor International Non-Profit,2019-08-27 18:24:53 UTC,2019-10-04 23:18:38 UTC,34.3903646985,-119.3095544792,,,false,Procyon lotor,Common Raccoon
32415631,b5b0b02e-a599-4084-a760-c7590a93c34b,2019/09/08 9:54 AM PDT,2019-09-08,2019-09-08 16:54:00 UTC,Pacific Time (US & Canada),Andrea Kreuzhage,2019-09-09 15:59:21 UTC,2024-11-06 11:56:28 UTC,34.1805712692,-118.67234381,,,false,Procyon lotor,Common Raccoon
33554410,92dee29b-e4aa-4e75-aa83-a318a6c04e87,Fri Sep 27 2019 06:57:53 GMT-0700 (PDT),2019-09-27,2019-09-27 13:57:53 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-09-28 21:20:35 UTC,2020-06-03 17:17:46 UTC,34.45378,-119.1342695,,,false,Procyon lotor,Common Raccoon
34369510,3d1f39b4-d0d9-41a8-9eb2-374ad8a5df3d,2019/10/08 11:59 PM PDT,2019-10-08,2019-10-09 06:59:00 UTC,Pacific Time (US & Canada),Chloe Novak,2019-10-14 18:09:11 UTC,2019-11-15 16:33:45 UTC,34.4508555556,-119.2415166667,,,false,Procyon lotor,Common Raccoon
34600422,4bd722c4-036b-4928-b9ee-328102516d7a,Sat Oct 19 2019 12:34:10 GMT-0700 (PDT),2019-10-19,2019-10-19 19:34:10 UTC,Pacific Time (US & Canada),Windyc,2019-10-19 20:08:08 UTC,2019-10-27 01:11:46 UTC,34.4412119083,-119.2266894894,,,false,Procyon lotor,Common Raccoon
35597950,ec3f9c63-47c7-4328-99a3-5d17f259d71a,2019/11/11 1:19 PM PST,2019-11-11,2019-11-11 21:19:00 UTC,Pacific Time (US & Canada),Jim Carretta,2019-11-12 04:16:24 UTC,2020-01-21 02:33:31 UTC,34.6912797378,-119.3544866087,,,false,Procyon lotor,Common Raccoon
35878247,ea8cacdc-14fb-4918-8eca-6d300b17e997,2019/11/10 10:54 AM PST,2019-11-10,2019-11-10 18:54:00 UTC,Pacific Time (US & Canada),Kurt Zias,2019-11-20 07:28:28 UTC,2023-10-01 00:12:22 UTC,34.2436889019,-119.1922441856,,,false,Procyon lotor,Common Raccoon
36477668,25644490-c589-40de-b4ec-d1662f59c394,Sat Oct 05 2019 10:37:26 GMT-0700 (PDT),2019-10-05,2019-10-05 17:37:26 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-12-08 20:59:36 UTC,2023-08-26 15:27:25 UTC,34.4064033333,-119.3470833333,,,false,Procyon lotor,Common Raccoon
36672008,f132f789-eff4-4e0a-9b8a-93403e339205,Sat Dec 14 2019 10:36:08 GMT-0800 (PST),2019-12-14,2019-12-14 18:36:08 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-12-15 14:47:38 UTC,2020-03-22 14:44:35 UTC,34.3495966667,-119.0528195,,,false,Procyon lotor,Common Raccoon
36672019,b8919adf-72f5-4cbc-bf27-1c57b8486ce1,Sat Dec 14 2019 11:02:40 GMT-0800 (PST),2019-12-14,2019-12-14 19:02:40 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-12-15 14:48:05 UTC,2021-02-04 20:42:20 UTC,34.3484783333,-119.0518278333,,,false,Procyon lotor,Common Raccoon
36692621,2db62dac-0035-4782-ad0d-682a552edd2d,Sun Dec 15 2019 14:04:40 GMT-0800 (PST),2019-12-15,2019-12-15 22:04:40 UTC,Pacific Time (US & Canada),Debbie A Parisi,2019-12-16 03:15:50 UTC,2020-03-22 14:57:29 UTC,34.3088866667,-119.0967861667,,,false,Procyon lotor,Common Raccoon
