duration,start_station,end_station,plan_duration,st_year,st_month,st_day,st_hour,st_minute,end_year,end_month,end_day,end_hour,end_minute,bike_electric,pass_daypass,pass_indego30,pass_indego365,pass_walkup,trip_oneway,day_of_week,is_weekend,st_hr_sin,st_hr_cos,st_day_sin,st_day_cos,st_yr_sin,st_yr_cos
28,3041,3381,1,2025,8,8,22,53,2025,8,8,23,21,1,0,0,0,1,1,4,0,-0.5000000000000004,0.8660254037844384,0.7818314824680271,0.6234898018587369,-0.8660254037844392,0.4999999999999991
9,3051,3073,365,2025,6,3,11,57,2025,6,3,12,6,1,0,0,1,0,1,1,0,0.258819045102521,-0.9659258262890682,-0.4338837391175562,-0.90096886790242,-0.5000000000000004,0.8660254037844384
10,3422,3119,365,2025,9,29,17,29,2025,9,29,17,39,1,0,0,1,0,1,0,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388
13,3261,3017,365,2025,7,16,18,15,2025,7,16,18,28,0,0,0,1,0,1,2,0,-1.0,-1.8369701987210294e-16,-0.4338837391175575,-0.9009688679024194,3.673940397442059e-16,-1.0
9,3066,3038,365,2021,1,15,10,21,2021,1,15,10,30,0,0,0,1,0,1,4,0,0.4999999999999999,-0.8660254037844387,0.4338837391175584,-0.9009688679024188,-0.8660254037844386,0.5000000000000001
6,3037,3201,30,2022,6,15,23,39,2022,6,15,23,45,0,0,1,0,0,1,2,0,-0.2588190451025215,0.965925826289068,0.9749279121818238,-0.2225209339563136,-0.5000000000000014,0.8660254037844378
42,3202,3106,365,2021,9,26,22,54,2021,9,26,23,36,0,0,0,1,0,1,6,1,-0.5000000000000004,0.8660254037844384,0.7818314824680271,0.6234898018587369,-0.8660254037844392,0.4999999999999991
11,3004,3203,365,2020,5,15,13,34,2020,5,15,13,45,0,0,0,1,0,1,4,0,-0.2588190451025208,-0.9659258262890684,-0.781831482468029,0.6234898018587346,0.5,0.8660254037844386
9,3102,3296,30,2023,2,17,13,28,2023,2,17,13,37,1,0,1,0,0,1,4,0,-0.2588190451025208,-0.9659258262890684,-0.781831482468029,0.6234898018587346,0.5,0.8660254037844386
9,3028,3068,30,2020,10,7,19,53,2020,10,7,20,2,0,0,1,0,0,1,2,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392
10,3168,3204,30,2024,3,15,19,9,2024,3,15,19,19,0,0,1,0,0,1,4,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392
