duration,start_station,end_station,plan_duration,st_year,st_month,st_day,st_hour,st_minute,end_year,end_month,end_day,end_hour,end_minute,bike_electric,pass_daypass,pass_indego30,pass_indego365,pass_walkup,trip_oneway,day_of_week,is_weekend,st_hr_sin,st_hr_cos,st_day_sin,st_day_cos,st_yr_sin,st_yr_cos
7,3061,3208,30,2022,11,9,5,15,2022,11,9,5,22,0,0,1,0,0,1,2,0,0.9659258262890684,0.2588190451025207,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,-0.8660254037844387
19,3114,3373,365,2024,9,3,18,36,2024,9,3,18,55,1,0,0,1,0,1,1,0,-1.0,-1.8369701987210294e-16,-0.4338837391175575,-0.9009688679024194,3.673940397442059e-16,-1.0
5,3015,3050,30,2021,4,17,23,41,2021,4,17,23,46,0,0,1,0,0,1,5,1,-0.2588190451025215,0.965925826289068,0.9749279121818238,-0.2225209339563136,-0.5000000000000014,0.8660254037844378
2,3318,3037,30,2025,9,10,20,5,2025,9,10,20,7,1,0,1,0,0,1,2,0,-0.8660254037844386,0.5000000000000001,-0.7818314824680302,0.6234898018587329,-0.8660254037844387,-0.4999999999999998
10,3006,3061,30,2021,11,24,16,46,2021,11,24,16,56,0,0,1,0,0,1,2,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
7,3062,3159,365,2024,4,23,11,45,2024,4,23,11,52,1,0,0,1,0,1,1,0,0.258819045102521,-0.9659258262890682,-0.4338837391175562,-0.90096886790242,-0.5000000000000004,0.8660254037844384
29,3169,3245,30,2021,9,5,16,31,2021,9,5,17,0,0,0,1,0,0,1,6,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
14,3192,3078,30,2020,3,2,8,4,2020,3,2,8,18,1,0,1,0,0,1,0,0,0.8660254037844387,-0.4999999999999998,0.7818314824680296,0.6234898018587337,-0.8660254037844385,-0.5000000000000004
4,3340,3058,30,2024,8,7,18,35,2024,8,7,18,39,1,0,1,0,0,1,2,0,-1.0,-1.8369701987210294e-16,-0.4338837391175575,-0.9009688679024194,3.673940397442059e-16,-1.0
14,3397,3022,30,2025,10,25,13,4,2025,10,25,13,18,1,0,1,0,0,1,5,1,-0.2588190451025208,-0.9659258262890684,-0.781831482468029,0.6234898018587346,0.5,0.8660254037844386
18,3057,3113,1,2025,9,8,15,12,2025,9,8,15,30,1,1,0,0,0,1,0,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15
3,3007,3010,365,2025,3,24,16,7,2025,3,24,16,10,1,0,0,1,0,1,0,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
9,3015,3100,30,2025,10,24,11,51,2025,10,24,12,0,1,0,1,0,0,1,4,0,0.258819045102521,-0.9659258262890682,-0.4338837391175562,-0.90096886790242,-0.5000000000000004,0.8660254037844384
5,3285,3383,30,2025,10,22,15,52,2025,10,22,15,57,1,0,1,0,0,1,2,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15
12,3114,3052,30,2024,11,27,17,49,2024,11,27,18,1,1,0,1,0,0,1,2,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388
42,3168,3154,30,2020,9,1,18,17,2020,9,1,18,59,0,0,1,0,0,1,1,0,-1.0,-1.8369701987210294e-16,-0.4338837391175575,-0.9009688679024194,3.673940397442059e-16,-1.0
12,3046,3182,365,2021,9,2,13,44,2021,9,2,13,56,0,0,0,1,0,1,3,0,-0.2588190451025208,-0.9659258262890684,-0.781831482468029,0.6234898018587346,0.5,0.8660254037844386
40,3074,3209,30,2020,9,9,16,24,2020,9,9,17,4,0,0,1,0,0,1,2,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
11,3074,3022,30,2021,8,16,11,31,2021,8,16,11,42,1,0,1,0,0,1,0,0,0.258819045102521,-0.9659258262890682,-0.4338837391175562,-0.90096886790242,-0.5000000000000004,0.8660254037844384
17,3021,3074,30,2024,10,8,16,6,2024,10,8,16,23,1,0,1,0,0,1,1,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
24,3069,3168,365,2023,5,17,12,38,2023,5,17,13,2,0,0,0,1,0,1,2,0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563148,-2.4492935982947064e-16,1.0
6,3104,3104,30,2023,8,5,20,5,2023,8,5,20,11,0,0,1,0,0,0,5,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680302,0.6234898018587329,-0.8660254037844387,-0.4999999999999998
11,3383,3226,30,2024,8,31,14,8,2024,8,31,14,19,0,0,1,0,0,1,5,1,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004
9,3318,3039,30,2025,9,3,21,57,2025,9,3,22,6,1,0,1,0,0,1,2,0,-0.7071067811865477,0.7071067811865474,-7.34788079488412e-16,1.0,-1.0,-4.286263797015736e-16
5,3362,3000,365,2025,3,9,7,12,2025,3,9,7,17,1,0,0,1,0,1,6,1,0.9659258262890684,-0.2588190451025206,-2.4492935982947064e-16,1.0,-0.4999999999999997,-0.8660254037844388
